"subj" "item" "TFT" "syll_len" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "IC" "SC"
"146" 10 13 0 1 1 12692 25348 NA NA 3 0 1
"147" 10 13 214 2 1 88 72 4 NA 4 0 2
"148" 10 13 172 2 0 76 114 1 1 3 0 1
"149" 10 13 0 2 1 2612 2527 1 NA 3 3 1
"150" 10 13 494 3 0 132 132 1 NA 4 0 1
"151" 10 13 564 2 0 29 3304 5 1 3 35 0
"152" 10 13 0 2 0 1045 7560 1 53 2 0 0
"153" 10 13 0 1 0 19415 18846 298 1871 1 0 0
"154" 10 14 204 5 0 136 136 NA NA 6 0 1
"155" 10 14 0 1 0.5 10733 14482 135 135 2 0 2
"156" 10 14 0 1 1 6478 25348 1852 1 2 0 1
"157" 10 14 234 3 1 8 8 1 NA 6 0 1
"158" 10 14 228 1 0 8766 25348 1 2 2 0 1
"159" 10 14 258 1 0 1862 1863 52 59 2 0 1
"160" 10 14 376 2 0.5 319 566 2 7 4 0 1
"161" 10 14 0 3 2 8 9 NA NA 9 0 1
"162" 10 14 334 1 1 12692 25348 3 3 3 0 1
"163" 10 14 240 2 1 1306 3918 4 2 4 0 1
"164" 10 14 144 3 0 1 16 NA NA 5 11 0
"165" 10 14 0 1 0 1470 3255 NA NA 2 0 0
"166" 10 14 0 2 0 5122 5122 69 145 2 0 1
"167" 10 14 328 3 0.5 260 6262 49 353 4 0 2
"168" 10 14 254 2 0 1294 1294 38 41 3 0 1
"169" 10 14 0 2 1 133 566 3 3 4 0 1
"170" 10 14 194 3 2 8 9 1 1 9 0 1
"171" 10 14 0 1 1 12692 25348 3 3 3 0 1
"172" 10 14 282 4 1 21 21 16 NA 5 0 1
"173" 10 14 0 3 0 59 9800 1 20 4 6 0
"174" 10 14 0 1 0 888 3255 3 384 2 0 0
"175" 10 14 0 1 0 19415 18846 579 2058 1 0 0
"176" 10 15 208 3 1.5 859 859 NA NA 5 0 1
"177" 10 15 0 3 1 8 8 NA NA 6 0 1
"178" 10 15 0 1 0.5 18820 25348 NA 2 2 0 2
"179" 10 15 0 2 0 3071 8126 121 325 2 0 2
"180" 10 15 272 3 0 95 104 7 18 3 1 1
"181" 10 15 0 1 0.5 7203 25348 5 8 2 0 1
"182" 10 15 488 2 0.5 187 240 6 2 4 0 1
"183" 10 15 490 2 0.5 19 23 1 1 3 0 1
"184" 10 15 0 1 1 12692 25348 4 6 3 0 1
"185" 10 15 494 2 0.5 29 29 3 NA 3 1 1
"186" 10 15 0 2 0 63 234 1 NA 2 17 0
"187" 10 15 0 2 0 1961 7560 6 11 3 0 0
"188" 10 15 0 1 0 19415 18846 538 1871 1 0 0
"189" 10 16 0 2 1 77 170 NA NA 4 0 1
"190" 10 16 170 4 1 NA NA NA NA 7 0 1
"191" 10 16 0 1 0.5 6947 12697 NA NA 2 0 1
"192" 10 16 0 2 1 133 566 10 27 4 0 2
"193" 10 16 0 3 0.5 559 794 15 16 5 0 1
"194" 10 16 0 1 0 11321 25348 100 159 2 0 2
"195" 10 16 468 2 0.5 287 287 97 98 4 1 1
"196" 10 16 0 1 0 11321 25348 28 36 2 0 2
"197" 10 16 0 2 0 616 672 135 146 3 1 1
"198" 10 16 160 2 0 52 3906 34 47 3 7 0
"199" 10 16 0 1 0.5 10733 14482 12 686 2 0 0
"200" 10 16 0 1 0 19415 18846 6561 8730 1 0 0
"201" 10 17 162 3 1.5 859 859 NA NA 5 0 1
"202" 10 17 184 3 1 8 8 NA NA 6 0 1
"203" 10 17 0 1 0.5 18820 25348 NA 2 2 0 2
"204" 10 17 0 2 0 1188 1190 757 21 3 0 1
"205" 10 17 456 5 0 3 3 1 1 7 2 1
"206" 10 17 0 1 0.5 18820 25348 2 NA 2 0 2
"207" 10 17 350 3 0.5 92 469 56 5 4 1 1
"208" 10 17 0 2 0 276 603 1 NA 3 0 1
"209" 10 17 174 2 3 2 25 1 NA 7 0 1
"210" 10 17 0 1 0.5 18820 25348 1 8 2 0 2
"211" 10 17 0 3 1 352 389 301 NA 5 1 1
"212" 10 17 0 2 0 788 1337 7 7 3 0 2
"213" 10 17 304 4 1 156 160 12 12 8 0 1
"214" 10 17 276 2 0.5 2830 NA 14 NA 4 0 1
"215" 10 17 0 1 0 11321 25348 70 NA 2 30 0
"216" 10 17 0 2 0 1045 7560 273 4 2 0 0
"217" 10 17 0 1 0 19415 18846 298 1871 1 0 0
"218" 10 18 0 3 1.5 107 135 NA NA 5 0 1
"219" 10 18 190 5 1 NA NA NA NA 8 0 1
"220" 10 18 0 1 1 12692 25348 NA NA 3 0 1
"221" 10 18 0 3 1 78 78 2 5 6 0 1
"222" 10 18 0 1 0 6 6 1 1 2 0 1
"223" 10 18 384 1 0 11321 25348 2 3 2 0 2
"224" 10 18 0 2 0 181 365 17 45 2 0 2
"225" 10 18 0 3 1.5 107 135 3 3 5 2 1
"226" 10 18 256 4 1 60 150 NA NA 7 0 1
"227" 10 18 0 1 0 5500 25348 3 1 2 0 2
"228" 10 18 0 1 0 3079 3081 85 189 2 0 2
"229" 10 18 260 4 2 2 2 1 1 8 1 1
"230" 10 18 186 2 0 100 5915 1 1 4 9 0
"231" 10 18 0 1 0.5 10733 14482 9 603 2 0 0
"232" 10 18 0 1 0 19415 18846 6561 8730 1 0 0
"233" 10 19 222 4 0.5 1 1 NA NA 6 0 1
"234" 10 19 0 1 0.5 18820 25348 1 NA 2 0 2
"235" 10 19 300 2 0 1294 1294 861 2 3 0 1
"236" 10 19 0 1 0 6 6 1 1 2 0 1
"237" 10 19 0 1 0 11321 25348 2 3 2 0 2
"238" 10 19 0 2 0 1750 8126 32 325 2 0 2
"239" 10 19 340 2 1 550 1337 4 42 4 0 2
"240" 10 19 0 3 0 221 222 1 1 3 0 2
"241" 10 19 408 2 2.5 226 347 NA NA 6 1 1
"242" 10 19 0 2 0 5002 7193 165 2 2 0 1
"243" 10 19 372 2 0 61 649 5 7 3 1 2
"244" 10 19 372 3 0.5 161 398 1 1 5 0 2
"245" 10 19 126 3 1.5 107 135 1 1 5 7 1
"246" 10 19 0 1 0.5 10733 14482 2 2 2 9 0
"247" 10 19 0 1 0 19415 18846 6561 8730 1 0 0
"248" 10 20 192 2 0 3071 8126 NA NA 2 0 2
"249" 10 20 164 3 1.5 107 135 11 20 5 0 1
"250" 10 20 0 1 1 12692 25348 11 25 3 0 1
"251" 10 20 276 4 0 NA NA NA NA 6 0 1
"252" 10 20 0 2 1 NA NA NA NA 4 0 1
"253" 10 20 0 1 0.5 6947 12697 NA NA 2 0 1
"254" 10 20 0 1 0 3079 3081 147 232 2 0 1
"255" 10 20 246 3 0 19 19 2 2 4 0 2
"256" 10 20 182 4 0 NA NA NA NA 6 0 1
"257" 10 20 348 2 0 344 349 NA NA 3 0 1
"258" 10 20 66 2 1 1984 9800 12 145 4 14 0
"259" 10 20 0 1 0.5 10733 14482 380 1003 2 0 0
"260" 10 20 0 1 0 19415 18846 6561 8730 1 0 0
"261" 10 21 338 3 0 9 9 NA NA 4 0 1
"262" 10 21 0 1 0.5 6947 12697 5 NA 2 0 1
"263" 10 21 192 3 0 816 1026 405 29 5 1 0
"264" 10 21 0 1 1 6478 25348 655 9 2 0 1
"265" 10 21 0 2 0.5 13 53 2 NA 4 0 1
"266" 10 21 0 1 0.5 6947 12697 2 NA 2 0 1
"267" 10 21 276 2 0 340 341 16 19 2 0 2
"268" 10 21 0 3 0.5 62 6262 1 45 4 0 2
"269" 10 21 270 2 0.5 44 141 1 8 4 3 1
"270" 10 21 0 1 1 6478 25348 7 1 2 0 2
"271" 10 21 76 3 0.5 5 250 1 1 4 0 2
"272" 10 21 248 3 0 20 250 1 1 4 0 3
"273" 10 21 0 3 0 100 120 1 1 3 0 2
"274" 10 21 382 2 1 550 1337 2 4 4 0 2
"275" 10 21 0 2 0 5122 5122 11 17 2 0 2
"276" 10 21 0 1 0 5500 25348 3 4 2 0 3
"277" 10 21 302 2 0 265 273 64 162 3 1 2
"278" 10 21 0 2 0.5 44 141 1 1 4 10 1
"279" 10 21 206 2 0 197 7560 1 80 3 0 1
"280" 10 21 0 1 0 1349 1349 17 80 2 1 1
"281" 10 21 0 2 0 132 250 4 9 2 0 1
"282" 10 21 420 3 1 5 1337 1 2 5 0 2
"283" 10 21 220 2 0 265 273 1 NA 3 0 1
"284" 10 21 554 2 0.5 48 1763 2 18 4 0 1
"285" 10 21 204 3 1 1 343 1 6 7 3 0
"286" 10 21 0 1 0 19415 18846 NA 39 1 0 0
"287" 10 22 116 2 0 120 121 NA NA 2 0 1
"288" 10 22 0 2 1.5 51 558 2 2 5 0 1
"289" 10 22 206 3 0 210 1621 1 24 4 0 2
"290" 10 22 0 2 0 265 273 8 9 3 0 1
"291" 10 22 0 3 1 NA NA NA NA 5 5 0
"292" 10 22 0 2 1 550 1337 NA NA 4 0 2
"293" 10 22 120 2 0 5122 5122 11 17 2 0 2
"294" 10 22 320 1 0 5500 25348 3 4 2 0 2
"295" 10 22 0 2 0 265 273 64 162 3 1 1
"296" 10 22 470 2 0.5 2830 NA 9 NA 4 0 1
"297" 10 22 150 1 0.5 237 1763 19 NA 2 1 0
"298" 10 22 0 2 0 53 374 2 2 3 0 0
"299" 10 22 0 1 0 19415 18846 10 84 1 0 0
"300" 10 23 160 4 1.5 1693 6262 NA NA 8 0 1
"301" 10 23 0 2 0 3192 3906 874 953 3 0 0
"302" 10 23 0 1 1 6478 25348 2473 6 2 0 1
"303" 10 23 0 2 0 835 6262 253 71 2 0 1
"304" 10 23 0 3 0.5 826 1621 28 144 4 0 1
"305" 10 23 0 2 1.5 1 1 1 1 5 0 1
"306" 10 23 298 5 1 16 21 1 1 7 1 1
"307" 10 23 202 2 2.5 505 507 1 1 6 0 1
"308" 10 23 0 1 0.5 18820 25348 45 64 2 0 2
"309" 10 23 216 3 2.5 1 1 1 1 8 1 1
"310" 10 23 400 4 0 1 1 1 1 7 0 1
"311" 10 23 0 1 0 968 968 1 1 1 0 2
"312" 10 23 0 3 1.5 5 5 1 1 6 0 1
"313" 10 23 0 2 0 94 94 1 1 3 0 1
"314" 10 23 0 2 0 5122 5122 5 5 2 0 2
"315" 10 23 386 3 1 196 196 13 13 5 0 1
"316" 10 23 0 1 0.5 18820 25348 29 33 2 0 2
"317" 10 23 364 3 1 1 1 1 1 5 1 1
"318" 10 23 220 1 0 8766 25348 1 NA 2 0 1
"319" 10 23 512 5 0.5 9 9 4 NA 7 0 1
"320" 10 23 438 2 0.5 112 3918 2 4 4 2 1
"321" 10 23 0 3 0 88 343 6 15 5 17 0
"322" 10 23 0 1 1 3449 14482 14 214 3 0 0
"323" 10 23 0 1 0 19415 18846 2296 8730 1 0 0
"324" 10 24 0 3 0 9 9 NA NA 4 0 1
"325" 10 24 0 1 0.5 18820 25348 1 1 2 0 2
"326" 10 24 270 2 1 45 52 16 16 4 1 1
"327" 10 24 284 4 0.5 2 2 1 1 6 0 1
"328" 10 24 0 2 1.5 1009 1007 1 1 4 0 1
"329" 10 24 0 3 0 15 16 6 5 5 2 1
"330" 10 24 300 3 1.5 805 805 1 1 5 0 1
"331" 10 24 324 6 1.5 1 1 1 1 9 0 1
"332" 10 24 0 1 1 3449 14482 1 1 3 2 0
"333" 10 24 0 2 0 5122 5122 166 592 2 0 1
"334" 10 24 532 7 1 NA NA NA NA 9 0 1
"335" 10 24 0 1 1 12692 25348 NA NA 3 0 1
"336" 10 24 170 4 1 198 209 6 20 6 0 1
"337" 10 24 0 1 0.5 18820 25348 53 81 2 0 2
"338" 10 24 320 2 0 1188 1190 757 21 3 0 1
"339" 10 24 158 3 0.5 63 3304 1 14 4 11 0
"340" 10 24 0 1 1 3449 14482 39 1885 3 0 0
"341" 10 24 0 1 0 19415 18846 2296 8730 1 0 0
"342" 10 25 0 4 1.5 1693 6262 NA NA 8 0 1
"343" 10 25 188 3 0 816 1026 113 131 5 0 0
"344" 10 25 0 1 1 6478 25348 655 9 2 0 1
"345" 10 25 0 2 2.5 505 507 21 5 6 0 1
"346" 10 25 0 1 0.5 18820 25348 45 64 2 0 2
"347" 10 25 174 2 2 2 2 1 2 6 0 1
"348" 10 25 456 3 1 44 57 1 1 5 2 1
"349" 10 25 0 1 1 12692 25348 8 17 3 0 1
"350" 10 25 352 3 1 11 15 5 4 6 1 1
"351" 10 25 0 2 1 212 1763 3 6 4 0 1
"352" 10 25 0 1 0.5 18820 25348 65 69 2 0 2
"353" 10 25 0 2 0 1294 1294 861 2 3 0 1
"354" 10 25 720 2 1 550 1337 4 6 4 0 1
"355" 10 25 0 1 0.5 6947 12697 17 1 2 0 1
"356" 10 25 102 3 0 9 9 1 NA 4 0 1
"357" 10 25 80 1 0 8766 25348 1 1 2 0 1
"358" 10 25 108 2 0 1 1 NA NA 4 0 0
"359" 10 25 0 2 1 1306 3918 NA NA 4 13 0
"360" 10 25 0 1 1 6478 25348 59 182 2 0 1
"361" 10 25 364 2 1 14 14 1 NA 3 0 1
"362" 10 25 176 3 1.5 85 85 1 1 6 0 1
"363" 10 25 0 3 0.5 50 450 1 1 4 0 1
"364" 10 25 232 1 0.5 18820 25348 15 15 2 0 2
"365" 10 25 152 2 1 2612 2527 2346 1 3 0 1
"366" 10 25 206 2 0 119 1109 1 7 2 2 0
"367" 10 25 200 1 0.5 10733 14482 36 181 2 0 0
"368" 10 25 0 1 0 19415 18846 6561 8730 1 0 0
"369" 10 26 150 2 0 60 8126 NA NA 3 0 2
"370" 10 26 0 2 0.5 1 4 NA NA 4 0 1
"371" 10 26 358 1 0.5 6947 12697 NA NA 2 0 1
"372" 10 26 0 2 0 331 331 56 27 2 0 1
"373" 10 26 266 2 0.5 253 6262 1 5 3 0 1
"374" 10 26 114 2 0.5 319 566 1 16 4 0 1
"375" 10 26 126 2 0 1014 1015 28 35 2 0 1
"376" 10 26 262 3 1 48 354 1 25 6 11 0
"377" 10 26 0 2 1 1306 3918 3 3 4 0 0
"378" 10 26 0 1 0 19415 18846 365 774 1 0 0
"379" 10 27 248 4 1.5 1693 6262 NA NA 8 0 1
"380" 10 27 0 2 0 3192 3906 874 953 3 0 0
"381" 10 27 280 1 1 6478 25348 2473 6 2 0 1
"382" 10 27 0 2 1 385 386 1 6 4 0 1
"383" 10 27 0 1 1 12692 25348 7 NA 3 0 1
"384" 10 27 0 1 0 1349 1349 31 14 2 0 1
"385" 10 27 0 2 0 835 6262 34 172 2 0 1
"386" 10 27 282 3 0.5 801 8126 5 296 4 0 2
"387" 10 27 0 2 1 2612 2527 133 130 3 0 1
"388" 10 27 212 3 0.5 269 269 47 47 5 0 1
"389" 10 27 0 2 0.5 2830 NA 26 NA 4 0 1
"390" 10 27 0 1 0.5 793 3255 25 NA 2 15 0
"391" 10 27 0 1 1 6478 25348 29 1 2 0 1
"392" 10 27 246 2 0.5 102 106 1 14 4 0 1
"393" 10 27 174 2 0 541 8126 1 1 2 0 2
"394" 10 27 316 4 1 NA NA NA NA 8 0 1
"395" 10 27 424 1 1 12692 25348 NA NA 3 0 1
"396" 10 27 0 3 1.5 103 188 32 26 6 0 1
"397" 10 27 0 1 0.5 237 1763 2 49 2 6 0
"398" 10 27 0 1 0 19415 18846 4 219 1 0 0
"399" 10 28 0 4 1.5 NA NA NA NA 6 0 1
"400" 10 28 332 3 0.5 260 6262 NA NA 4 0 2
"401" 10 28 0 4 1 NA NA NA NA 6 0 1
"402" 10 28 170 3 0.5 2 22 NA NA 6 1 1
"403" 10 28 0 1 0.5 18820 25348 NA 1 2 0 2
"404" 10 28 254 2 0.5 174 173 17 2 3 0 1
"405" 10 28 168 3 1.5 549 6262 2 3 6 0 1
"406" 10 28 792 3 0.5 3 9 1 1 5 0 1
"407" 10 28 0 2 0 120 234 2 1 3 12 0
"408" 10 28 0 1 0 19415 18846 62 92 1 0 0
"409" 10 30 228 2 0 447 449 NA NA 2 0 2
"410" 10 30 252 5 1 NA NA NA NA 9 0 1
"411" 10 30 0 1 1 12692 25348 NA NA 3 0 1
"412" 10 30 196 4 2 6 6 1 NA 7 1 1
"413" 10 30 0 2 0 2277 9800 1 1 2 0 1
"414" 10 30 276 2 0.5 100 344 19 60 4 0 2
"415" 10 30 0 3 0 9 9 1 1 4 0 1
"416" 10 30 0 1 0.5 6947 12697 5 NA 2 0 1
"417" 10 30 242 2 0 5 32 2 2 4 0 1
"418" 10 30 168 2 0 177 182 4 3 3 0 1
"419" 10 30 314 2 0 340 341 1 1 2 0 2
"420" 10 30 0 2 0.5 138 138 3 3 3 0 2
"421" 10 30 208 2 0 81 86 2 2 3 0 2
"422" 10 30 0 2 0 2277 9800 6 11 2 6 2
"423" 10 30 0 2 0 223 273 1 2 2 0 2
"424" 10 30 350 2 0.5 83 1196 4 10 5 0 2
"425" 10 30 0 1 0 8766 25348 21 30 2 0 2
"426" 10 30 250 3 0 816 1026 91 1 5 14 1
"427" 10 30 0 1 1 6478 25348 655 9 2 0 2
"428" 10 30 0 2 0.5 253 6262 16 71 3 0 2
"429" 10 30 542 3 1.5 16 18 1 1 6 0 2
"430" 10 30 592 2 0.5 28 64 1 2 4 1 1
"431" 10 30 0 2 0 1961 7560 9 24 3 0 1
"432" 10 30 0 1 0.5 10733 14482 852 1903 2 0 1
"433" 10 30 0 1 0 19415 18846 6561 8730 1 0 1
"434" 10 31 186 1 0 1349 1349 NA NA 2 0 1
"435" 10 31 0 2 1 133 566 2 7 4 0 2
"436" 10 31 0 2 0 223 273 1 2 2 0 1
"437" 10 31 0 1 1 12692 25348 33 27 3 0 1
"438" 10 31 0 2 0.5 55 58 6 9 4 0 1
"439" 10 31 290 1 0 11321 25348 3 9 2 0 2
"440" 10 31 0 3 0 11 45 5 6 3 1 1
"441" 10 31 0 2 0 13 19 5 3 3 10 0
"442" 10 31 0 2 0 1045 7560 4 2 2 0 0
"443" 10 31 0 2 0 5122 5122 25 152 2 0 1
"444" 10 31 320 3 0.5 5 5 1 1 5 0 1
"445" 10 31 162 2 0.5 10 89 1 NA 4 1 0
"446" 10 31 0 2 0 960 7560 2 7 2 0 0
"447" 10 31 0 1 0 19415 18846 268 1871 1 0 0
"448" 10 32 0 3 0 15 15 NA NA 5 0 1
"449" 10 32 0 1 0.5 7203 25348 2 3 2 0 1
"450" 10 32 0 3 0.5 826 1621 18 46 4 0 2
"451" 10 32 256 4 2 6 6 1 1 7 0 1
"452" 10 32 0 1 0 5500 25348 1 2 2 0 2
"453" 10 32 0 3 0 14 16 3 4 3 1 1
"454" 10 32 0 2 1 385 386 2 2 4 0 1
"455" 10 32 274 3 0.5 1730 9800 30 198 4 7 1
"456" 10 32 392 2 0 352 1196 41 177 4 0 2
"457" 10 32 0 3 0 9 9 2 1 4 1 1
"458" 10 32 0 1 0.5 6947 12697 5 NA 2 0 1
