"subj" "expt" "item" "lang" "session" "trial" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "block" "PB" "IC" "SC"
"50" 10 "hnd1" "8" "Hindi" 1 "12" 7 0 0 0 0 0 0 0 562 0 0 0 0 0 0 3 "फिल्म" 1.5 107 135 9 20 5 2 6 0 1
"51" 10 "hnd1" "8" "Hindi" 1 "12" 8 254 1 254 254 254 254 254 816 0 0 0 0 0 254 3 "दिखाना" 1 5 140 1 3 6 2 8 8 1
"52" 10 "hnd1" "8" "Hindi" 1 "12" 9 228 1 228 228 228 228 228 1044 0 0 0 0 0 228 3 "चाहते" 0.5 141 343 2 2 5 2 9 7 0
"53" 10 "hnd1" "8" "Hindi" 1 "12" 10 0 0 0 0 0 0 0 1044 0 0 0 0 0 0 1 "हैं" 1 3449 14482 95 214 3 2 9 0 0
"54" 10 "hnd1" "8" "Hindi" 1 "12" 11 0 0 0 0 0 0 0 1044 0 0 0 0 0 0 1 "।" 0 19415 18846 2296 8730 1 2 9 0 0
"55" 10 "hnd1" "9" "Hindi" 1 "13" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 "देवानंद" 1 3 2 NA NA 7 2 1 0 1
"56" 10 "hnd1" "9" "Hindi" 1 "13" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "ने" 0.5 6947 12697 3 NA 2 2 1 0 1
"57" 10 "hnd1" "9" "Hindi" 1 "13" 3 434 1 434 434 434 434 434 434 0 0 0 0 0 434 3 "बताया" 0 816 1026 405 29 5 2 3 1 0
"58" 10 "hnd1" "9" "Hindi" 1 "13" 4 0 0 0 0 0 0 0 434 0 0 0 0 0 0 1 "कि" 1 6478 25348 655 9 2 2 4 0 1
"59" 10 "hnd1" "9" "Hindi" 1 "13" 5 356 1 356 356 356 356 356 790 0 0 0 0 0 356 3 "उनकी" 0 400 6262 39 71 4 2 5 0 2
"60" 10 "hnd1" "9" "Hindi" 1 "13" 6 312 1 312 312 312 312 312 1102 0 0 0 0 0 312 2 "यह" 0 1750 8126 3 296 2 2 5 0 2
"61" 10 "hnd1" "9" "Hindi" 1 "13" 7 0 0 0 0 0 0 0 1102 0 0 0 0 0 0 3 "फिल्म" 1.5 107 135 9 20 5 2 5 1 1
"62" 10 "hnd1" "9" "Hindi" 1 "13" 8 318 1 318 318 318 318 318 1420 0 0 0 0 0 318 2 "30" 0 21 21 NA NA 2 2 8 0 1
"63" 10 "hnd1" "9" "Hindi" 1 "13" 9 0 0 0 0 0 0 0 1420 0 0 0 0 0 0 4 "नवंबर" 0.5 63 64 NA NA 5 2 8 0 1
"64" 10 "hnd1" "9" "Hindi" 1 "13" 10 368 1 368 368 368 368 368 1788 0 0 0 0 0 368 1 "को" 0 8766 25348 31 2 2 2 8 0 1
"65" 10 "hnd1" "9" "Hindi" 1 "13" 11 0 0 0 0 0 0 0 1788 0 0 0 0 0 0 3 "रिलीज" 1 2 3 1 NA 5 2 12 0 1
"66" 10 "hnd1" "9" "Hindi" 1 "13" 12 0 0 0 0 0 0 0 1788 0 0 0 0 0 0 2 "होगी" 0 232 5915 1 3 4 2 12 6 0
"67" 10 "hnd1" "9" "Hindi" 1 "13" 13 0 0 0 0 0 0 0 1788 0 0 0 0 0 0 1 "।" 0 19415 18846 159 886 1 2 12 0 0
"68" 10 "hnd1" "10" "Hindi" 1 "14" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "बात" 0 616 672 NA NA 3 2 1 0 1
"69" 10 "hnd1" "10" "Hindi" 1 "14" 2 76 1 0 352 352 826 352 352 474 0 474 0 0 474 3 "गलत" 0 72 72 1 1 3 2 2 0 1
"70" 10 "hnd1" "10" "Hindi" 1 "14" 3 0 0 0 0 0 0 0 352 0 0 0 0 0 0 1 "हो" 0 1646 14482 1 13 2 2 3 1 0
"71" 10 "hnd1" "10" "Hindi" 1 "14" 4 0 0 0 0 0 0 0 352 0 0 0 0 0 0 1 "तो" 0 1349 1349 20 214 2 2 4 0 1
"72" 10 "hnd1" "10" "Hindi" 1 "14" 5 0 0 0 184 184 184 658 1010 0 0 0 1 1 184 3 "गुस्सा" 1 9 19 1 2 6 2 5 0 1
"73" 10 "hnd1" "10" "Hindi" 1 "14" 6 230 1 0 230 680 834 1338 2348 604 450 154 1 1 154 4 "मशहूर" 0.5 17 17 NA NA 5 2 6 0 1
"74" 10 "hnd1" "10" "Hindi" 1 "14" 7 0 0 182 182 182 182 182 2530 0 0 0 0 0 182 2 "लोगों" 0.5 767 1172 NA NA 5 2 6 0 1
"75" 10 "hnd1" "10" "Hindi" 1 "14" 8 368 1 368 368 368 368 368 2898 0 0 0 0 0 368 1 "को" 0 8766 25348 229 246 2 2 6 0 1
"76" 10 "hnd1" "10" "Hindi" 1 "14" 9 0 0 324 324 324 324 506 3404 0 0 0 1 1 324 1 "भी" 0 3079 3081 234 189 2 2 6 0 1
"77" 10 "hnd1" "10" "Hindi" 1 "14" 10 576 1 576 576 576 576 1082 4486 0 0 0 1 1 576 2 "आना" 0 26 1109 1 10 3 2 10 5 1
"78" 10 "hnd1" "10" "Hindi" 1 "14" 11 168 1 168 168 168 168 322 4808 0 0 0 1 1 168 3 "लाजमी" 0 3 3 1 1 5 2 11 0 1
"79" 10 "hnd1" "10" "Hindi" 1 "14" 12 0 0 0 0 0 0 0 4808 0 0 0 0 0 0 1 "है" 0.5 10733 14482 2 2 2 2 12 13 0
"80" 10 "hnd1" "10" "Hindi" 1 "14" 13 0 0 0 0 0 0 0 4808 0 0 0 0 0 0 1 "।" 0 19415 18846 6561 8730 1 2 12 0 0
